t;agent_type;position;revenue;imbalance;da_position;capacity
166;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
167;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
168;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
169;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
170;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
171;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
172;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
173;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
174;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
175;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
176;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
177;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
178;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
179;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
180;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
181;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
182;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
183;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
184;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
185;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
186;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
187;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
188;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
189;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
190;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
191;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
192;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
193;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
194;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
195;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
196;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
197;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
198;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
199;VariableAgent;20.0;923.5595474861199;0.0;0.0;80.0
